方法名称1,方法名称2,方法参数,返回值类型,链接
Rolling.,sum,"(numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.sum.html
pandas.testing.,assert_series_equal,"(left, right, check_dtype=True, check_index_type='equiv', check_series_type=True, check_names=True, check_exact=False, check_datetimelike_compat=False, check_categorical=True, check_category_order=True, check_freq=True, check_flags=True, rtol=1e-05, atol=1e-08, obj='Series', *, check_index=True, check_like=False)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.testing.assert_series_equal.html
pandas.plotting.,autocorrelation_plot,"(series, ax=None, **kwargs)",matplotlib.axes.Axes,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.autocorrelation_plot.html
Resampler.,indices,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.indices.html
pandas.testing.,assert_series_equal,"(left, right, check_dtype=True, check_index_type='equiv', check_series_type=True, check_names=True, check_exact=False, check_datetimelike_compat=False, check_categorical=True, check_category_order=True, check_freq=True, check_flags=True, rtol=1e-05, atol=1e-08, obj='Series', *, check_index=True, check_like=False)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.testing.assert_series_equal.html
pandas.,reset_option,(pat),None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.reset_option.html
Rolling.,sum,"(numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.sum.html
pandas.,reset_option,(pat),None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.reset_option.html
pandas.,pivot,"(data, *, columns, index=typing.Literal[<no_default>], values=typing.Literal[<no_default>])",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.pivot.html
DataFrame.,to_pickle,"(path, compression='infer', protocol=5, storage_options=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_pickle.html
Styler.,from_custom_template,"(searchpath, html_table=None, html_style=None)",MyStylersubclass of Styler,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.from_custom_template.html
SeriesGroupBy.,__iter__,(),"Generator yielding sequence of (name, subsetted object)",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.SeriesGroupBy.__iter__.html
Styler.,from_custom_template,"(searchpath, html_table=None, html_style=None)",MyStylersubclass of Styler,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.from_custom_template.html
SeriesGroupBy.,__iter__,(),"Generator yielding sequence of (name, subsetted object)",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.SeriesGroupBy.__iter__.html
Resampler.,indices,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.indices.html
pandas.,pivot,"(data, *, columns, index=typing.Literal[<no_default>], values=typing.Literal[<no_default>])",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.pivot.html
pandas.api.extensions.,register_series_accessor,(name),callable,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.register_series_accessor.html
pandas.api.extensions.,register_series_accessor,(name),callable,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.register_series_accessor.html
DataFrame.,to_pickle,"(path, compression='infer', protocol=5, storage_options=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_pickle.html
pandas.plotting.,bootstrap_plot,"(series, fig=None, size=50, samples=500, **kwds)",matplotlib.figure.Figure,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.bootstrap_plot.html
Resampler.,get_group,"(name, obj=None)",same type as obj,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.get_group.html
pandas.plotting.,bootstrap_plot,"(series, fig=None, size=50, samples=500, **kwds)",matplotlib.figure.Figure,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.bootstrap_plot.html
Rolling.,mean,"(numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.mean.html
pandas.testing.,assert_index_equal,"(left, right, exact='equiv', check_names=True, check_exact=True, check_categorical=True, check_order=True, rtol=1e-05, atol=1e-08, obj='Index')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.testing.assert_index_equal.html
pandas.testing.,assert_index_equal,"(left, right, exact='equiv', check_names=True, check_exact=True, check_categorical=True, check_order=True, rtol=1e-05, atol=1e-08, obj='Index')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.testing.assert_index_equal.html
Rolling.,mean,"(numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.mean.html
pandas.,get_option,(pat),resultthe value of the option,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.get_option.html
Styler.,env,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.env.html
Resampler.,get_group,"(name, obj=None)",same type as obj,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.get_group.html
Styler.,env,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.env.html
pandas.,get_option,(pat),resultthe value of the option,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.get_option.html
pandas.,array,"(data, dtype=None, copy=True)",ExtensionArray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.array.html
DataFrameGroupBy.,groups,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.groups.html
pandas.,array,"(data, dtype=None, copy=True)",ExtensionArray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.array.html
pandas.api.extensions.,register_index_accessor,(name),callable,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.register_index_accessor.html
pandas.api.extensions.,register_index_accessor,(name),callable,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.register_index_accessor.html
DataFrameGroupBy.,groups,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.groups.html
pandas.,Index,"(data=None, dtype=None, copy=False, name=None, tupleize_cols=True)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.html
pandas.,pivot_table,"(data, values=None, index=None, columns=None, aggfunc='mean', fill_value=None, margins=False, dropna=True, margins_name='All', observed=False, sort=True)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.pivot_table.html
pandas.,Index,"(data=None, dtype=None, copy=False, name=None, tupleize_cols=True)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.html
Rolling.,median,"(numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.median.html
Resampler.,apply,"(func=None, *args, **kwargs)","scalar, Series or DataFrame",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.apply.html
pandas.,pivot_table,"(data, values=None, index=None, columns=None, aggfunc='mean', fill_value=None, margins=False, dropna=True, margins_name='All', observed=False, sort=True)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.pivot_table.html
pandas.testing.,assert_extension_array_equal,"(left, right, check_dtype=True, index_values=None, check_exact=False, rtol=1e-05, atol=1e-08, obj='ExtensionArray')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.testing.assert_extension_array_equal.html
Styler.,template_html,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.template_html.html
pandas.plotting.,boxplot,"(data, column=None, by=None, ax=None, fontsize=None, rot=0, grid=True, figsize=None, layout=None, return_type=None, **kwargs)",result,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.boxplot.html
Styler.,template_html,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.template_html.html
pandas.testing.,assert_extension_array_equal,"(left, right, check_dtype=True, index_values=None, check_exact=False, rtol=1e-05, atol=1e-08, obj='ExtensionArray')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.testing.assert_extension_array_equal.html
pandas.,read_table,"(filepath_or_buffer, *, sep=_NoDefault.no_default, delimiter=None, header='infer', names=_NoDefault.no_default, index_col=None, usecols=None, dtype=None, engine=None, converters=None, true_values=None, false_values=None, skipinitialspace=False, skiprows=None, skipfooter=0, nrows=None, na_values=None, keep_default_na=True, na_filter=True, verbose=False, skip_blank_lines=True, parse_dates=False, infer_datetime_format=_NoDefault.no_default, keep_date_col=False, date_parser=_NoDefault.no_default, date_format=None, dayfirst=False, cache_dates=True, iterator=False, chunksize=None, compression='infer', thousands=None, decimal='.', lineterminator=None, quotechar='""', quoting=0, doublequote=True, escapechar=None, comment=None, encoding=None, encoding_errors='strict', dialect=None, on_bad_lines='error', delim_whitespace=False, low_memory=True, memory_map=False, float_precision=None, storage_options=None, dtype_backend=_NoDefault.no_default)",DataFrame or TextFileReader,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_table.html
pandas.plotting.,boxplot,"(data, column=None, by=None, ax=None, fontsize=None, rot=0, grid=True, figsize=None, layout=None, return_type=None, **kwargs)",result,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.boxplot.html
Rolling.,median,"(numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.median.html
Resampler.,apply,"(func=None, *args, **kwargs)","scalar, Series or DataFrame",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.apply.html
pandas.,set_option,"(pat, value)",None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.set_option.html
pandas.,set_option,"(pat, value)",None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.set_option.html
SeriesGroupBy.,groups,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.SeriesGroupBy.groups.html
pandas.api.extensions.,ExtensionDtype,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.ExtensionDtype.html
pandas.api.extensions.,ExtensionDtype,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.ExtensionDtype.html
pandas.,read_table,"(filepath_or_buffer, *, sep=_NoDefault.no_default, delimiter=None, header='infer', names=_NoDefault.no_default, index_col=None, usecols=None, dtype=None, engine=None, converters=None, true_values=None, false_values=None, skipinitialspace=False, skiprows=None, skipfooter=0, nrows=None, na_values=None, keep_default_na=True, na_filter=True, verbose=False, skip_blank_lines=True, parse_dates=False, infer_datetime_format=_NoDefault.no_default, keep_date_col=False, date_parser=_NoDefault.no_default, date_format=None, dayfirst=False, cache_dates=True, iterator=False, chunksize=None, compression='infer', thousands=None, decimal='.', lineterminator=None, quotechar='""', quoting=0, doublequote=True, escapechar=None, comment=None, encoding=None, encoding_errors='strict', dialect=None, on_bad_lines='error', delim_whitespace=False, low_memory=True, memory_map=False, float_precision=None, storage_options=None, dtype_backend=_NoDefault.no_default)",DataFrame or TextFileReader,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_table.html
SeriesGroupBy.,groups,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.SeriesGroupBy.groups.html
pandas.arrays.,ArrowExtensionArray,(values),ArrowExtensionArray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.arrays.ArrowExtensionArray.html
pandas.arrays.,ArrowExtensionArray,(values),ArrowExtensionArray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.arrays.ArrowExtensionArray.html
Rolling.,var,"(ddof=1, numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.var.html
Resampler.,aggregate,"(func=None, *args, **kwargs)","scalar, Series or DataFrame",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.aggregate.html
pandas.plotting.,deregister_matplotlib_converters,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.deregister_matplotlib_converters.html
Styler.,template_html_style,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.template_html_style.html
pandas.,crosstab,"(index, columns, values=None, rownames=None, colnames=None, aggfunc=None, margins=False, margins_name='All', dropna=True, normalize=False)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.crosstab.html
pandas.errors.,AbstractMethodError,"(class_instance, methodtype='method')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.AbstractMethodError.html
Index.,values,,array: numpy.ndarray or ExtensionArray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.values.html
Styler.,template_html_style,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.template_html_style.html
pandas.errors.,AbstractMethodError,"(class_instance, methodtype='method')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.AbstractMethodError.html
pandas.plotting.,deregister_matplotlib_converters,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.deregister_matplotlib_converters.html
pandas.,crosstab,"(index, columns, values=None, rownames=None, colnames=None, aggfunc=None, margins=False, margins_name='All', dropna=True, normalize=False)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.crosstab.html
pandas.,DataFrame,"(data=None, index=None, columns=None, dtype=None, copy=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.html
pandas.,option_context,(*args),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.option_context.html
pandas.,option_context,(*args),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.option_context.html
pandas.,DataFrame,"(data=None, index=None, columns=None, dtype=None, copy=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.html
Index.,values,,array: numpy.ndarray or ExtensionArray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.values.html
Resampler.,aggregate,"(func=None, *args, **kwargs)","scalar, Series or DataFrame",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.aggregate.html
Rolling.,var,"(ddof=1, numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.var.html
pandas.,Series,"(data=None, index=None, dtype=None, name=None, copy=None, fastpath=False)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.html
DataFrameGroupBy.,indices,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.indices.html
Styler.,template_html_table,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.template_html_table.html
pandas.api.extensions.,ExtensionArray,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.ExtensionArray.html
pandas.api.extensions.,ExtensionArray,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.ExtensionArray.html
Styler.,template_html_table,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.template_html_table.html
pandas.errors.,AccessorRegistrationWarning,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.AccessorRegistrationWarning.html
Resampler.,transform,"(arg, *args, **kwargs)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.transform.html
pandas.plotting.,lag_plot,"(series, lag=1, ax=None, **kwds)",matplotlib.axes.Axes,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.lag_plot.html
pandas.errors.,AccessorRegistrationWarning,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.AccessorRegistrationWarning.html
DataFrameGroupBy.,indices,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.indices.html
Rolling.,std,"(ddof=1, numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.std.html
pandas.plotting.,lag_plot,"(series, lag=1, ax=None, **kwds)",matplotlib.axes.Axes,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.lag_plot.html
pandas.,Series,"(data=None, index=None, dtype=None, name=None, copy=None, fastpath=False)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.html
pandas.,set_eng_float_format,"(accuracy=3, use_eng_prefix=False)",None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.set_eng_float_format.html
pandas.,ArrowDtype,(pyarrow_dtype),ArrowDtype,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.ArrowDtype.html
pandas.,set_eng_float_format,"(accuracy=3, use_eng_prefix=False)",None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.set_eng_float_format.html
Resampler.,transform,"(arg, *args, **kwargs)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.transform.html
pandas.,ArrowDtype,(pyarrow_dtype),ArrowDtype,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.ArrowDtype.html
pandas.,read_csv,"(filepath_or_buffer, *, sep=_NoDefault.no_default, delimiter=None, header='infer', names=_NoDefault.no_default, index_col=None, usecols=None, dtype=None, engine=None, converters=None, true_values=None, false_values=None, skipinitialspace=False, skiprows=None, skipfooter=0, nrows=None, na_values=None, keep_default_na=True, na_filter=True, verbose=False, skip_blank_lines=True, parse_dates=None, infer_datetime_format=_NoDefault.no_default, keep_date_col=False, date_parser=_NoDefault.no_default, date_format=None, dayfirst=False, cache_dates=True, iterator=False, chunksize=None, compression='infer', thousands=None, decimal='.', lineterminator=None, quotechar='""', quoting=0, doublequote=True, escapechar=None, comment=None, encoding=None, encoding_errors='strict', dialect=None, on_bad_lines='error', delim_whitespace=False, low_memory=True, memory_map=False, float_precision=None, storage_options=None, dtype_backend=_NoDefault.no_default)",DataFrame or TextFileReader,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_csv.html
pandas.tseries.offsets.,DateOffset,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.DateOffset.html
Rolling.,std,"(ddof=1, numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.std.html
pandas.,cut,"(x, bins, right=True, labels=None, retbins=False, precision=3, include_lowest=False, duplicates='raise', ordered=True)","Categorical, Series, or ndarray",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.cut.html
DataFrame.,index,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.index.html
pandas.arrays.,PandasArray,"(values, copy=False)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.arrays.PandasArray.html
Index.,is_monotonic_increasing,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_monotonic_increasing.html
DataFrame.,index,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.index.html
Styler.,template_latex,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.template_latex.html
pandas.arrays.,PandasArray,"(values, copy=False)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.arrays.PandasArray.html
Styler.,template_latex,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.template_latex.html
SeriesGroupBy.,indices,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.SeriesGroupBy.indices.html
pandas.,cut,"(x, bins, right=True, labels=None, retbins=False, precision=3, include_lowest=False, duplicates='raise', ordered=True)","Categorical, Series, or ndarray",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.cut.html
pandas.tseries.offsets.,DateOffset,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.DateOffset.html
pandas.errors.,AttributeConflictWarning,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.AttributeConflictWarning.html
pandas.errors.,AttributeConflictWarning,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.AttributeConflictWarning.html
pandas.,read_csv,"(filepath_or_buffer, *, sep=_NoDefault.no_default, delimiter=None, header='infer', names=_NoDefault.no_default, index_col=None, usecols=None, dtype=None, engine=None, converters=None, true_values=None, false_values=None, skipinitialspace=False, skiprows=None, skipfooter=0, nrows=None, na_values=None, keep_default_na=True, na_filter=True, verbose=False, skip_blank_lines=True, parse_dates=None, infer_datetime_format=_NoDefault.no_default, keep_date_col=False, date_parser=_NoDefault.no_default, date_format=None, dayfirst=False, cache_dates=True, iterator=False, chunksize=None, compression='infer', thousands=None, decimal='.', lineterminator=None, quotechar='""', quoting=0, doublequote=True, escapechar=None, comment=None, encoding=None, encoding_errors='strict', dialect=None, on_bad_lines='error', delim_whitespace=False, low_memory=True, memory_map=False, float_precision=None, storage_options=None, dtype_backend=_NoDefault.no_default)",DataFrame or TextFileReader,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_csv.html
Index.,is_monotonic_increasing,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_monotonic_increasing.html
pandas.plotting.,parallel_coordinates,"(frame, class_column, cols=None, ax=None, color=None, use_columns=False, xticks=None, colormap=None, axvlines=True, axvlines_kwds=None, sort_labels=False, **kwargs)",matplotlib.axes.Axes,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.parallel_coordinates.html
pandas.plotting.,parallel_coordinates,"(frame, class_column, cols=None, ax=None, color=None, use_columns=False, xticks=None, colormap=None, axvlines=True, axvlines_kwds=None, sort_labels=False, **kwargs)",matplotlib.axes.Axes,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.parallel_coordinates.html
Resampler.,pipe,"(func, *args, **kwargs)",the return type of func.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.pipe.html
Rolling.,min,"(numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.min.html
SeriesGroupBy.,indices,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.SeriesGroupBy.indices.html
Series.,index,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.index.html
