方法名称1,方法名称2,方法参数,返回值类型,链接
numpy.,source,"(object, output=<_io.TextIOWrapper name='<stdout>' mode='w' encoding='utf-8'>)",None,https://numpy.org/devdocs/reference/generated/numpy.source.html
numpy.,min_scalar_type,"(a, /)",dtype,https://numpy.org/devdocs/reference/generated/numpy.min_scalar_type.html
numpy.,savez,"(file, *args, **kwds)",None,https://numpy.org/devdocs/reference/generated/numpy.savez.html
numpy.,invert,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.invert.html
numpy.,geterrcall,(),None,https://numpy.org/devdocs/reference/generated/numpy.geterrcall.html
numpy.,identity,"(n, dtype=None, *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.identity.html
numpy.,ravel,"(a, order='C')",array_like,https://numpy.org/devdocs/reference/generated/numpy.ravel.html
char.,mod,"(a, values)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.mod.html
fft.,ifft2,"(a, s=None, axes=(-2, -1), norm=None)",complex ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.ifft2.html
numpy.,datetime_data,"(dtype, /)",str,https://numpy.org/devdocs/reference/generated/numpy.datetime_data.html
numpy.,savez_compressed,"(file, *args, **kwds)",None,https://numpy.org/devdocs/reference/generated/numpy.savez_compressed.html
numpy.,result_type,(*arrays_and_dtypes),dtype,https://numpy.org/devdocs/reference/generated/numpy.result_type.html
numpy.,left_shift,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",array of integer type,https://numpy.org/devdocs/reference/generated/numpy.left_shift.html
numpy.,ones,"(shape, dtype=None, order='C', *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ones.html
emath.,log2,(x),ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.emath.log2.html
numpy.,dot,"(a, b, out=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.dot.html
ndarray.,flat,,None,https://numpy.org/devdocs/reference/generated/numpy.ndarray.flat.html
fft.,fftn,"(a, s=None, axes=None, norm=None)",complex ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.fftn.html
numpy.,busdaycalendar,"(weekmask='1111100', holidays=None)",busdaycalendar,https://numpy.org/devdocs/reference/generated/numpy.busdaycalendar.html
numpy.,common_type,(*arrays),data type code,https://numpy.org/devdocs/reference/generated/numpy.common_type.html
char.,capitalize,(a),ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.capitalize.html
numpy.,frompyfunc,"(func, /, nin, nout, *[, identity])",ufunc,https://numpy.org/devdocs/reference/generated/numpy.frompyfunc.html
numpy.,right_shift,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])","ndarray, int",https://numpy.org/devdocs/reference/generated/numpy.right_shift.html
numpy.,ones_like,"(a, dtype=None, order='K', subok=True, shape=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ones_like.html
emath.,logn,"(n, x)",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.emath.logn.html
numpy.,all,"(a, axis=None, out=None, keepdims=<no value>, *, where=<no value>)","ndarray, bool",https://numpy.org/devdocs/reference/generated/numpy.all.html
numpy.,is_busday,"(dates, weekmask='1111100', holidays=None, busdaycal=None, out=None)",array of bool,https://numpy.org/devdocs/reference/generated/numpy.is_busday.html
fft.,ifftn,"(a, s=None, axes=None, norm=None)",complex ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.ifftn.html
numpy.,loadtxt,"(fname, dtype=<class 'float'>, comments='#', delimiter=None, converters=None, skiprows=0, usecols=None, unpack=False, ndmin=0, encoding='bytes', max_rows=None, *, quotechar=None, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.loadtxt.html
numpy.,obj2sctype,"(rep, default=None)",dtype or Python type,https://numpy.org/devdocs/reference/generated/numpy.obj2sctype.html
char.,center,"(a, width, fillchar=' ')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.center.html
numpy.,moveaxis,"(a, source, destination)",np.ndarray,https://numpy.org/devdocs/reference/generated/numpy.moveaxis.html
linalg.,multi_dot,"(arrays, *, out=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.linalg.multi_dot.html
numpy.,packbits,"(a, /, axis=None, bitorder='big')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.packbits.html
numpy.,zeros,"(shape, dtype=float, order='C', *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.zeros.html
numpy.,piecewise,"(x, condlist, funclist, *args, **kw)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.piecewise.html
numpy.,savetxt,"(fname, X, fmt='%.18e', delimiter=' ', newline='\n', header='', footer='', comments='# ', encoding=None)",None,https://numpy.org/devdocs/reference/generated/numpy.savetxt.html
fft.,rfft,"(a, n=None, axis=-1, norm=None)",complex ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.rfft.html
char.,decode,"(a, encoding=None, errors=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.decode.html
numpy.,vdot,"(a, b, /)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.vdot.html
numpy.,rollaxis,"(a, axis, start=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.rollaxis.html
numpy.,format_parser,"(formats, names, titles, aligned=False, byteorder=None)",None,https://numpy.org/devdocs/reference/generated/numpy.format_parser.html
emath.,log10,(x),ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.emath.log10.html
numpy.,unpackbits,"(a, /, axis=None, count=None, bitorder='big')","ndarray, uint8 type",https://numpy.org/devdocs/reference/generated/numpy.unpackbits.html
numpy.,any,"(a, axis=None, out=None, keepdims=<no value>, *, where=<no value>)",bool or ndarray,https://numpy.org/devdocs/reference/generated/numpy.any.html
numpy.,genfromtxt,"(fname, dtype=<class 'float'>, comments='#', delimiter=None, skip_header=0, skip_footer=0, converters=None, missing_values=None, filling_values=None, usecols=None, names=None, excludelist=None, deletechars="" !#$%&'()*+, -./:;<=>?@[\\]^{|}~"", replace_space='_', autostrip=False, case_sensitive=True, defaultfmt='f%i', unpack=None, usemask=False, loose=True, invalid_raise=True, max_rows=None, encoding='bytes', *, ndmin=0, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.genfromtxt.html
numpy.,busday_offset,"(dates, offsets, roll='raise', weekmask='1111100', holidays=None, busdaycal=None, out=None)",array of datetime64[D],https://numpy.org/devdocs/reference/generated/numpy.busday_offset.html
fft.,irfft,"(a, n=None, axis=-1, norm=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.irfft.html
char.,encode,"(a, encoding=None, errors=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.encode.html
numpy.ma.,MaskType,,None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskType.html
numpy.,inner,"(a, b, /)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.inner.html
numpy.,zeros_like,"(a, dtype=None, order='K', subok=True, shape=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.zeros_like.html
numpy.,swapaxes,"(a, axis1, axis2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.swapaxes.html
emath.,power,"(x, p)",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.emath.power.html
numpy.,binary_repr,"(num, width=None)",str,https://numpy.org/devdocs/reference/generated/numpy.binary_repr.html
numpy.,isfinite,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])","ndarray, bool",https://numpy.org/devdocs/reference/generated/numpy.isfinite.html
char.,expandtabs,"(a, tabsize=8)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.expandtabs.html
numpy.,busday_count,"(begindates, enddates, weekmask='1111100', holidays=[], busdaycal=None, out=None)",array of int,https://numpy.org/devdocs/reference/generated/numpy.busday_count.html
numpy.ma.,masked_array,,None,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_array.html
numpy.,fromregex,"(file, regexp, dtype, encoding=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fromregex.html
fft.,rfft2,"(a, s=None, axes=(-2, -1), norm=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.rfft2.html
numpy.,full,"(shape, fill_value, dtype=None, order='C', *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.full.html
numpy.,finfo,(dtype),None,https://numpy.org/devdocs/reference/generated/numpy.finfo.html
numpy.,outer,"(a, b, out=None)","(M, N) ndarray",https://numpy.org/devdocs/reference/generated/numpy.outer.html
emath.,arccos,(x),ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.emath.arccos.html
ndarray.,T,,None,https://numpy.org/devdocs/reference/generated/numpy.ndarray.T.html
numpy.,isinf,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",bool (scalar) or boolean ndarray,https://numpy.org/devdocs/reference/generated/numpy.isinf.html
char.,join,"(sep, seq)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.join.html
ma.,array,"(data, dtype=None, copy=False, order=None, mask=False, fill_value=None, keep_mask=True, hard_mask=False, shrink=True, subok=True, ndmin=0)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.array.html
numpy.,fromstring,"(string, dtype=float, count=-1, *, sep, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fromstring.html
numpy.,sin,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",array_like,https://numpy.org/devdocs/reference/generated/numpy.sin.html
numpy.,iinfo,(type),None,https://numpy.org/devdocs/reference/generated/numpy.iinfo.html
numpy.,full_like,"(a, fill_value, dtype=None, order='K', subok=True, shape=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.full_like.html
fft.,irfft2,"(a, s=None, axes=(-2, -1), norm=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.irfft2.html
emath.,arcsin,(x),ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.emath.arcsin.html
numpy.,transpose,"(a, axes=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.transpose.html
numpy.,matmul,"(x1, x2, /, out=None, *, casting='same_kind', order='K', dtype=None, subok=True[, signature, axes, axis])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.matmul.html
char.,ljust,"(a, width, fillchar=' ')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.ljust.html
numpy.,issctype,(rep),bool,https://numpy.org/devdocs/reference/generated/numpy.issctype.html
ma.,copy,"(self, *args, **params) a.copy(order='C')",None,https://numpy.org/devdocs/reference/generated/numpy.ma.copy.html
numpy.,array,"(object, dtype=None, *, copy=True, order='K', subok=False, ndmin=0, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.array.html
matlib.,empty,"(shape, dtype=None, order='C')",None,https://numpy.org/devdocs/reference/generated/numpy.matlib.empty.html
emath.,arctanh,(x),ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.emath.arctanh.html
numpy.,isnan,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or bool,https://numpy.org/devdocs/reference/generated/numpy.isnan.html
fft.,rfftn,"(a, s=None, axes=None, norm=None)",complex ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.rfftn.html
numpy.,cos,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.cos.html
char.,lower,(a),"ndarray, {str, unicode}",https://numpy.org/devdocs/reference/generated/numpy.char.lower.html
numpy.,tensordot,"(a, b, axes=2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.tensordot.html
numpy.,atleast_1d,(*arys),ndarray,https://numpy.org/devdocs/reference/generated/numpy.atleast_1d.html
numpy.,issubdtype,"(arg1, arg2)",bool,https://numpy.org/devdocs/reference/generated/numpy.issubdtype.html
numpy.,array2string,"(a, max_line_width=None, precision=None, suppress_small=None, separator=' ', prefix='', style=<no value>, formatter=None, threshold=None, edgeitems=None, sign=None, floatmode=None, suffix='', *, legacy=None)",str,https://numpy.org/devdocs/reference/generated/numpy.array2string.html
ma.,frombuffer,"(buffer, dtype=float, count=-1, offset=0, *, like=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.frombuffer.html
fft.,irfftn,"(a, s=None, axes=None, norm=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.irfftn.html
numpy.,isnat,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or bool,https://numpy.org/devdocs/reference/generated/numpy.isnat.html
numpy.,tan,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.tan.html
matlib.,zeros,"(shape, dtype=None, order='C')",matrix,https://numpy.org/devdocs/reference/generated/numpy.matlib.zeros.html
numpy.,asarray,"(a, dtype=None, order=None, *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.asarray.html
char.,lstrip,"(a, chars=None)","ndarray, {str, unicode}",https://numpy.org/devdocs/reference/generated/numpy.char.lstrip.html
numpy.,issubsctype,"(arg1, arg2)",bool,https://numpy.org/devdocs/reference/generated/numpy.issubsctype.html
numpy.,setbufsize,(size),None,https://numpy.org/devdocs/reference/generated/numpy.setbufsize.html
numpy.,array_repr,"(arr, max_line_width=None, precision=None, suppress_small=None)",str,https://numpy.org/devdocs/reference/generated/numpy.array_repr.html
numpy.,isneginf,"(x, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.isneginf.html
fft.,hfft,"(a, n=None, axis=-1, norm=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.hfft.html
numpy.,asanyarray,"(a, dtype=None, order=None, *, like=None)",ndarray or an ndarray subclass,https://numpy.org/devdocs/reference/generated/numpy.asanyarray.html
numpy.,arcsin,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.arcsin.html
char.,partition,"(a, sep)","ndarray, {str, unicode}",https://numpy.org/devdocs/reference/generated/numpy.char.partition.html
matlib.,ones,"(shape, dtype=None, order='C')",matrix,https://numpy.org/devdocs/reference/generated/numpy.matlib.ones.html
numpy.,getbufsize,(),None,https://numpy.org/devdocs/reference/generated/numpy.getbufsize.html
numpy.,einsum,"(subscripts, *operands, out=None, dtype=None, order='K', casting='safe', optimize=False)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.einsum.html
ma.,fromfunction,"(function, shape, **dtype)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.fromfunction.html
numpy.,atleast_2d,(*arys),ndarray,https://numpy.org/devdocs/reference/generated/numpy.atleast_2d.html
numpy.,isposinf,"(x, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.isposinf.html
numpy.,issubclass_,"(arg1, arg2)",bool,https://numpy.org/devdocs/reference/generated/numpy.issubclass_.html
fft.,ihfft,"(a, n=None, axis=-1, norm=None)",complex ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.ihfft.html
numpy.,ascontiguousarray,"(a, dtype=None, *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ascontiguousarray.html
matlib.,eye,"(n, M=None, k=0, dtype=<class 'float'>, order='C')",matrix,https://numpy.org/devdocs/reference/generated/numpy.matlib.eye.html
numpy.,arccos,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.arccos.html
numpy.,einsum_path,"(subscripts, *operands, optimize='greedy')",list of tuples,https://numpy.org/devdocs/reference/generated/numpy.einsum_path.html
numpy.,array_str,"(a, max_line_width=None, precision=None, suppress_small=None)",None,https://numpy.org/devdocs/reference/generated/numpy.array_str.html
numpy.,atleast_3d,(*arys),ndarray,https://numpy.org/devdocs/reference/generated/numpy.atleast_3d.html
numpy.,shares_memory,"(a, b, /, max_work=None)",bool,https://numpy.org/devdocs/reference/generated/numpy.shares_memory.html
char.,replace,"(a, old, new, count=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.replace.html
numpy.,iscomplex,(x),ndarray of bools,https://numpy.org/devdocs/reference/generated/numpy.iscomplex.html
fft.,fftfreq,"(n, d=1.0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.fftfreq.html
numpy.,find_common_type,"(array_types, scalar_types)",dtype,https://numpy.org/devdocs/reference/generated/numpy.find_common_type.html
numpy.,asmatrix,"(data, dtype=None)",matrix,https://numpy.org/devdocs/reference/generated/numpy.asmatrix.html
matlib.,identity,"(n, dtype=None)",matrix,https://numpy.org/devdocs/reference/generated/numpy.matlib.identity.html
ma.MaskedArray.,copy,(order='C'),None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.copy.html
numpy.,arctan,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.arctan.html
numpy.,may_share_memory,"(a, b, /, max_work=None)",bool,https://numpy.org/devdocs/reference/generated/numpy.may_share_memory.html
char.,rjust,"(a, width, fillchar=' ')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.rjust.html
numpy.,iscomplexobj,(x),bool,https://numpy.org/devdocs/reference/generated/numpy.iscomplexobj.html
linalg.,matrix_power,"(a, n)","(…, M, M) ndarray or matrix object",https://numpy.org/devdocs/reference/generated/numpy.linalg.matrix_power.html
numpy.,copy,"(a, order='K', subok=False)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.copy.html
fft.,rfftfreq,"(n, d=1.0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.rfftfreq.html
numpy.,format_float_positional,"(x, precision=None, unique=True, fractional=True, trim='k', sign=False, pad_left=None, pad_right=None, min_digits=None)",string,https://numpy.org/devdocs/reference/generated/numpy.format_float_positional.html
ma.,diagflat,,ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.diagflat.html
matlib.,repmat,"(a, m, n)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.matlib.repmat.html
numpy.,broadcast_to,"(array, shape, subok=False)",array,https://numpy.org/devdocs/reference/generated/numpy.broadcast_to.html
numpy.,typename,(char),str,https://numpy.org/devdocs/reference/generated/numpy.typename.html
char.,rpartition,"(a, sep)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.rpartition.html
numpy.,byte_bounds,(a),tuple of 2 integers,https://numpy.org/devdocs/reference/generated/numpy.byte_bounds.html
numpy.,hypot,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.hypot.html
numpy.,kron,"(a, b)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.kron.html
numpy.,format_float_scientific,"(x, precision=None, unique=True, trim='k', sign=False, pad_left=None, exp_digits=None, min_digits=None)",string,https://numpy.org/devdocs/reference/generated/numpy.format_float_scientific.html
fft.,fftshift,"(x, axes=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.fftshift.html
matlib.,rand,(*args),ndarray,https://numpy.org/devdocs/reference/generated/numpy.matlib.rand.html
numpy.,broadcast_arrays,"(*args, subok=False)",None,https://numpy.org/devdocs/reference/generated/numpy.broadcast_arrays.html
numpy.,isfortran,(a),bool,https://numpy.org/devdocs/reference/generated/numpy.isfortran.html
char.,rsplit,"(a, sep=None, maxsplit=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.rsplit.html
ma.,empty,"(shape, dtype=float, order='C', *, like=None)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.empty.html
numpy.,frombuffer,"(buffer, dtype=float, count=-1, offset=0, *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.frombuffer.html
linalg.,cholesky,(a),"(…, M, M) array_like",https://numpy.org/devdocs/reference/generated/numpy.linalg.cholesky.html
numpy.lib.mixins.,NDArrayOperatorsMixin,,None,https://numpy.org/devdocs/reference/generated/numpy.lib.mixins.NDArrayOperatorsMixin.html
numpy.,arctan2,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.arctan2.html
numpy.,expand_dims,"(a, axis)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.expand_dims.html
numpy.,isreal,(x),"ndarray, bool",https://numpy.org/devdocs/reference/generated/numpy.isreal.html
numpy.,sctype2char,(sctype),str,https://numpy.org/devdocs/reference/generated/numpy.sctype2char.html
matlib.,randn,(*args),matrix of floats,https://numpy.org/devdocs/reference/generated/numpy.matlib.randn.html
fft.,ifftshift,"(x, axes=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.ifftshift.html
ma.,empty_like,"(prototype, dtype=None, order='K', subok=True, shape=None)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.empty_like.html
numpy.,from_dlpack,"(x, /)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.from_dlpack.html
char.,rstrip,"(a, chars=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.rstrip.html
numpy.,degrees,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray of floats,https://numpy.org/devdocs/reference/generated/numpy.degrees.html
numpy.,mintypecode,"(typechars, typeset='GDFgdf', default='d')",str,https://numpy.org/devdocs/reference/generated/numpy.mintypecode.html
numpy.,squeeze,"(a, axis=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.squeeze.html
numpy.,isrealobj,(x),bool,https://numpy.org/devdocs/reference/generated/numpy.isrealobj.html
numpy.,set_printoptions,"(precision=None, threshold=None, edgeitems=None, linewidth=None, suppress=None, nanstr=None, infstr=None, formatter=None, sign=None, floatmode=None, *, legacy=None)",None,https://numpy.org/devdocs/reference/generated/numpy.set_printoptions.html
ma.,masked_all,"(shape, dtype=<class 'float'>)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_all.html
numpy.lib.,NumpyVersion,(vstring),None,https://numpy.org/devdocs/reference/generated/numpy.lib.NumpyVersion.html
linalg.,qr,"(a, mode='reduced')","ndarray of float or complex, optional",https://numpy.org/devdocs/reference/generated/numpy.linalg.qr.html
numpy.,fromfile,"(file, dtype=float, count=-1, sep='', offset=0, *, like=None)",None,https://numpy.org/devdocs/reference/generated/numpy.fromfile.html
numpy.,pad,"(array, pad_width, mode='constant', **kwargs)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.pad.html
numpy.,maximum_sctype,(t),dtype,https://numpy.org/devdocs/reference/generated/numpy.maximum_sctype.html
numpy.,asarray,"(a, dtype=None, order=None, *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.asarray.html
numpy.,get_printoptions,(),None,https://numpy.org/devdocs/reference/generated/numpy.get_printoptions.html
char.,split,"(a, sep=None, maxsplit=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.split.html
numpy.,radians,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.radians.html
numpy.,isscalar,(element),bool,https://numpy.org/devdocs/reference/generated/numpy.isscalar.html
numpy.polynomial.polynomial.,Polynomial,"(coef, domain=None, window=None, symbol='x')",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.Polynomial.html
linalg.,svd,"(a, full_matrices=True, compute_uv=True, hermitian=False)","{ (…, M, M), (…, M, K) } array",https://numpy.org/devdocs/reference/generated/numpy.linalg.svd.html
numpy.,fromfunction,"(function, shape, *, dtype=<class 'float'>, like=None, **kwargs)",any,https://numpy.org/devdocs/reference/generated/numpy.fromfunction.html
